Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T23:59:49:844,101291.164,0.154,54.210,23.740
0000-00-00T23:59:49:914,101291.367,0.137,54.190,23.740
0000-00-00T23:59:50:000,101291.773,0.103,54.150,23.770
0000-00-00T23:59:50:070,101291.117,0.157,54.150,23.740
0000-00-00T23:59:50:141,101291.312,0.141,54.120,23.730
0000-00-00T23:59:50:221,101290.602,0.201,54.120,23.730
0000-00-00T23:59:50:291,101290.070,0.245,54.120,23.770
0000-00-00T23:59:50:361,101289.914,0.258,54.110,23.740
0000-00-00T23:59:50:431,101290.555,0.205,54.130,23.750
0000-00-00T23:59:50:501,101290.555,0.205,54.110,23.730
0000-00-00T23:59:50:571,101289.820,0.266,54.110,23.730
0000-00-00T23:59:50:642,101289.836,0.264,54.090,23.750
0000-00-00T23:59:50:712,101289.359,0.304,54.090,23.740
0000-00-00T23:59:50:782,101289.141,0.322,54.060,23.740
0000-00-00T23:59:50:855,101290.094,0.243,54.020,23.730
0000-00-00T23:59:50:925,101289.898,0.259,53.990,23.740
0000-00-00T23:59:51:000,101289.469,0.295,53.980,23.740
0000-00-00T23:59:51:071,101289.477,0.294,53.950,23.750
0000-00-00T23:59:51:141,101290.547,0.205,53.960,23.730
0000-00-00T23:59:51:211,101290.727,0.190,53.890,23.770
0000-00-00T23:59:51:281,101290.227,0.232,53.820,23.750
0000-00-00T23:59:51:351,101290.164,0.237,53.790,23.750
0000-00-00T23:59:51:422,101291.109,0.158,53.830,23.740
0000-00-00T23:59:51:494,101291.266,0.145,53.760,23.750
0000-00-00T23:59:51:565,101290.469,0.212,53.730,23.750
0000-00-00T23:59:51:635,101290.047,0.247,53.700,23.750
0000-00-00T23:59:51:705,101290.078,0.244,53.730,23.740
0000-00-00T23:59:51:775,101289.930,0.257,53.670,23.730
0000-00-00T23:59:51:845,101290.750,0.189,53.660,23.750
0000-00-00T23:59:51:915,101289.898,0.259,53.610,23.750
0000-00-00T23:59:52:000,101290.234,0.231,53.600,23.750
0000-00-00T23:59:52:070,101291.047,0.164,53.580,23.740
0000-00-00T23:59:52:143,101290.867,0.179,53.550,23.740
0000-00-00T23:59:52:213,101290.438,0.215,53.540,23.770
0000-00-00T23:59:52:283,101289.883,0.261,53.530,23.750
0000-00-00T23:59:52:353,101289.656,0.280,53.460,23.740
0000-00-00T23:59:52:423,101290.227,0.232,53.470,23.770
0000-00-00T23:59:52:493,101289.508,0.292,53.470,23.740
0000-00-00T23:59:52:563,101290.180,0.236,53.400,23.730
0000-00-00T23:59:52:633,101290.797,0.185,53.370,23.750
0000-00-00T23:59:52:703,101290.773,0.187,53.350,23.750
0000-00-00T23:59:52:776,101291.141,0.156,53.310,23.750
0000-00-00T23:59:52:846,101290.922,0.174,53.250,23.740
0000-00-00T23:59:53:000,101290.766,0.187,53.190,23.770
0000-00-00T23:59:53:070,101290.719,0.191,53.150,23.740
0000-00-00T23:59:53:140,101291.648,0.113,53.120,23.740
0000-00-00T23:59:53:211,101290.891,0.176,53.080,23.750
0000-00-00T23:59:53:281,101291.797,0.101,53.000,23.770
0000-00-00T23:59:53:351,101290.727,0.190,52.980,23.740
0000-00-00T23:59:53:421,101289.930,0.257,52.900,23.750
0000-00-00T23:59:53:494,101289.945,0.255,52.860,23.750
0000-00-00T23:59:53:564,101289.500,0.292,52.830,23.750
0000-00-00T23:59:53:634,101288.930,0.340,52.730,23.740
0000-00-00T23:59:53:704,101288.820,0.349,52.710,23.750
0000-00-00T23:59:53:774,101289.461,0.296,52.660,23.750
0000-00-00T23:59:53:844,101289.734,0.273,52.630,23.740
0000-00-00T23:59:53:914,101289.695,0.276,52.520,23.730
0000-00-00T23:59:54:000,101289.570,0.287,52.520,23.770
0000-00-00T23:59:54:070,101289.195,0.318,52.470,23.750
0000-00-00T23:59:54:140,101289.633,0.282,52.400,23.750
0000-00-00T23:59:54:213,101290.250,0.230,52.400,23.770
0000-00-00T23:59:54:283,101291.000,0.168,52.360,23.780
0000-00-00T23:59:54:353,101290.570,0.203,52.330,23.740
0000-00-00T23:59:54:423,101290.211,0.233,52.280,23.740
0000-00-00T23:59:54:493,101289.797,0.268,52.270,23.750
0000-00-00T23:59:54:564,101290.227,0.232,52.260,23.770
0000-00-00T23:59:54:634,101290.625,0.199,52.240,23.750
0000-00-00T23:59:54:704,101291.430,0.132,52.200,23.740
0000-00-00T23:59:54:774,101291.039,0.164,52.150,23.780
0000-00-00T23:59:54:847,101290.461,0.213,52.140,23.750
0000-00-00T23:59:54:917,101289.984,0.252,52.140,23.780
0000-00-00T23:59:55:000,101289.055,0.329,52.120,23.750
0000-00-00T23:59:55:071,101289.820,0.266,52.050,23.780
0000-00-00T23:59:55:141,101290.039,0.247,52.060,23.780
0000-00-00T23:59:55:211,101289.648,0.280,52.010,23.750
0000-00-00T23:59:55:281,101289.789,0.269,52.030,23.750
0000-00-00T23:59:55:351,101290.961,0.171,51.980,23.750
0000-00-00T23:59:55:421,101290.922,0.174,51.980,23.750
0000-00-00T23:59:55:494,101291.320,0.141,51.950,23.740
0000-00-00T23:59:55:570,101291.219,0.149,51.850,23.750
0000-00-00T23:59:55:641,101290.758,0.188,51.900,23.770
0000-00-00T23:59:55:711,101290.172,0.236,51.820,23.770
0000-00-00T23:59:55:781,101290.164,0.237,51.830,23.730
0000-00-00T23:59:55:851,101290.305,0.225,51.830,23.750
0000-00-00T23:59:55:921,101290.695,0.193,51.730,23.750
0000-00-00T23:59:56:000,101290.086,0.243,51.730,23.750
0000-00-00T23:59:56:070,101289.891,0.260,51.710,23.780
0000-00-00T23:59:56:143,101289.492,0.293,51.640,23.750
0000-00-00T23:59:56:213,101289.016,0.333,51.640,23.750
0000-00-00T23:59:56:283,101288.781,0.352,51.580,23.770
0000-00-00T23:59:56:353,101288.336,0.389,51.560,23.770
0000-00-00T23:59:56:423,101287.695,0.443,51.510,23.770
0000-00-00T23:59:56:493,101288.539,0.373,51.490,23.750
0000-00-00T23:59:56:564,101288.836,0.347,51.450,23.740
0000-00-00T23:59:56:634,101288.484,0.377,51.410,23.770
0000-00-00T23:59:56:704,101288.812,0.350,51.420,23.770
0000-00-00T23:59:56:777,101289.727,0.274,51.360,23.770
0000-00-00T23:59:56:847,101291.328,0.140,51.290,23.770
0000-00-00T23:59:57:000,101291.500,0.126,51.290,23.770
0000-00-00T23:59:57:071,101291.578,0.120,51.270,23.770
0000-00-00T23:59:57:141,101290.891,0.176,51.240,23.750
0000-00-00T23:59:57:211,101291.609,0.117,51.210,23.800
0000-00-00T23:59:57:281,101291.789,0.102,51.250,23.780
0000-00-00T23:59:57:351,101292.391,0.052,51.220,23.780
0000-00-00T23:59:57:422,101292.719,0.025,51.220,23.780
0000-00-00T23:59:57:503,101291.953,0.088,51.200,23.750
0000-00-00T23:59:57:575,101291.336,0.140,51.250,23.750
0000-00-00T23:59:57:647,101290.812,0.183,51.240,23.750
0000-00-00T23:59:57:719,101290.914,0.175,51.260,23.750
0000-00-00T23:59:57:791,101291.023,0.166,51.250,23.770
0000-00-00T23:59:57:864,101291.273,0.145,51.240,23.770
0000-00-00T23:59:57:936,101292.656,0.030,51.270,23.770
0000-00-00T23:59:58:000,101293.125,-0.010,51.300,23.770
0000-00-00T23:59:58:072,101292.500,0.043,51.310,23.770
0000-00-00T23:59:58:147,101292.227,0.065,51.320,23.770
0000-00-00T23:59:58:219,101292.570,0.037,51.320,23.750
0000-00-00T23:59:58:300,101292.039,0.081,51.340,23.770
0000-00-00T23:59:58:372,101291.781,0.103,51.360,23.770
0000-00-00T23:59:58:444,101291.266,0.145,51.350,23.780
0000-00-00T23:59:58:517,101291.133,0.156,51.390,23.750
0000-00-00T23:59:58:589,101290.078,0.244,51.390,23.740
0000-00-00T23:59:58:661,101290.188,0.235,51.340,23.770
0000-00-00T23:59:58:733,101290.336,0.223,51.340,23.740
0000-00-00T23:59:58:805,101290.938,0.173,51.320,23.770
0000-00-00T23:59:58:880,101290.820,0.183,51.340,23.780
0000-00-00T23:59:59:000,101290.984,0.169,51.320,23.750
0000-00-00T23:59:59:073,101291.070,0.161,51.280,23.750
0000-00-00T23:59:59:145,101291.484,0.127,51.270,23.770
0000-00-00T23:59:59:217,101291.102,0.159,51.240,23.750
0000-00-00T23:59:59:289,101291.570,0.120,51.240,23.750
0000-00-00T23:59:59:361,101290.984,0.169,51.220,23.780
0000-00-00T23:59:59:433,101289.969,0.253,51.220,23.780
0000-00-00T23:59:59:506,101290.648,0.197,51.200,23.780
0000-00-00T23:59:59:581,101290.836,0.181,51.170,23.750
0000-00-00T23:59:59:653,101290.023,0.249,51.130,23.770
0000-00-00T23:59:59:725,101290.602,0.201,51.100,23.770
0000-00-00T23:59:59:797,101290.477,0.211,51.110,23.780
0000-00-00T23:59:59:869,101290.344,0.222,51.070,23.780
0000-00-00T00:00:00:000,101290.344,0.222,51.060,23.780
0000-00-00T00:00:00:072,101290.523,0.207,51.010,23.750
0000-00-00T00:00:00:145,101290.820,0.183,51.010,23.770
0000-00-00T00:00:00:217,101290.672,0.195,51.010,23.750
0000-00-00T00:00:00:292,101290.789,0.185,50.980,23.750
0000-00-00T00:00:00:364,101290.555,0.205,50.950,23.780
0000-00-00T00:00:00:436,101291.578,0.120,50.980,23.780
0000-00-00T00:00:00:508,101290.930,0.173,50.990,23.750
0000-00-00T00:00:00:581,101290.570,0.203,51.020,23.770
0000-00-00T00:00:00:653,101289.578,0.286,51.040,23.780
0000-00-00T00:00:00:725,101289.602,0.284,51.050,23.780
0000-00-00T00:00:00:797,101290.383,0.219,51.050,23.750
0000-00-00T00:00:00:869,101291.008,0.167,51.070,23.770
0000-00-00T00:00:00:944,101290.398,0.218,51.090,23.780
0000-00-00T00:00:01:000,101291.406,0.134,51.130,23.780
0000-00-00T00:00:01:073,101291.477,0.128,51.120,23.780
0000-00-00T00:00:01:145,101291.289,0.143,51.170,23.780
0000-00-00T00:00:01:217,101290.992,0.168,51.190,23.750
0000-00-00T00:00:01:289,101291.000,0.168,51.200,23.750
0000-00-00T00:00:01:361,101290.906,0.175,51.320,23.780
0000-00-00T00:00:01:434,101290.766,0.187,51.330,23.770
0000-00-00T00:00:01:506,101290.961,0.171,51.340,23.780
0000-00-00T00:00:01:581,101291.391,0.135,51.410,23.770
0000-00-00T00:00:01:653,101291.094,0.159,51.410,23.770
0000-00-00T00:00:01:725,101291.375,0.136,51.450,23.810
0000-00-00T00:00:01:798,101290.898,0.176,51.510,23.780
0000-00-00T00:00:01:870,101290.297,0.226,51.540,23.800
0000-00-00T00:00:02:000,101290.805,0.184,51.630,23.770
0000-00-00T00:00:02:072,101290.750,0.189,51.630,23.750
0000-00-00T00:00:02:144,101291.805,0.101,51.740,23.770
0000-00-00T00:00:02:217,101291.875,0.095,51.720,23.770
0000-00-00T00:00:02:292,101292.398,0.051,51.760,23.780
0000-00-00T00:00:02:364,101291.703,0.109,51.800,23.780
0000-00-00T00:00:02:436,101291.164,0.154,51.830,23.780
0000-00-00T00:00:02:508,101291.422,0.132,51.840,23.780
0000-00-00T00:00:02:580,101292.547,0.039,51.820,23.780
0000-00-00T00:00:02:653,101292.172,0.070,51.890,23.800
0000-00-00T00:00:02:725,101292.156,0.071,51.870,23.770
0000-00-00T00:00:02:797,101291.602,0.118,51.900,23.780
0000-00-00T00:00:02:869,101291.656,0.113,51.900,23.800
0000-00-00T00:00:02:944,101291.406,0.134,51.960,23.800
0000-00-00T00:00:03:000,101291.414,0.133,51.980,23.770
0000-00-00T00:00:03:072,101292.750,0.022,52.000,23.750
0000-00-00T00:00:03:145,101293.539,-0.043,52.000,23.800
0000-00-00T00:00:03:217,101293.055,-0.004,52.040,23.780
0000-00-00T00:00:03:289,101293.484,-0.039,52.090,23.780
0000-00-00T00:00:03:361,101292.562,0.038,52.060,23.780
0000-00-00T00:00:03:433,101291.828,0.099,52.140,23.770
0000-00-00T00:00:03:506,101292.047,0.080,52.150,23.770
0000-00-00T00:00:03:578,101291.234,0.148,52.150,23.770
0000-00-00T00:00:03:648,101292.008,0.083,52.160,23.780
0000-00-00T00:00:03:720,101291.969,0.087,52.200,23.770
0000-00-00T00:00:03:792,101291.781,0.103,52.210,23.770
0000-00-00T00:00:03:864,101292.133,0.073,52.260,23.780
0000-00-00T00:00:04:000,101290.703,0.192,52.260,23.800
0000-00-00T00:00:04:073,101291.203,0.150,52.260,23.800
0000-00-00T00:00:04:145,101290.922,0.174,52.320,23.810
0000-00-00T00:00:04:217,101291.664,0.112,52.340,23.770
0000-00-00T00:00:04:289,101291.859,0.096,52.390,23.750
0000-00-00T00:00:04:364,101292.641,0.031,52.360,23.800
0000-00-00T00:00:04:436,101292.953,0.005,52.380,23.800
0000-00-00T00:00:04:509,101292.641,0.031,52.410,23.800
0000-00-00T00:00:04:581,101292.047,0.080,52.420,23.780
0000-00-00T00:00:04:659,101292.148,0.072,52.490,23.810
0000-00-00T00:00:04:731,101292.156,0.071,52.480,23.780
0000-00-00T00:00:04:803,101292.766,0.020,52.490,23.800
0000-00-00T00:00:04:875,101292.125,0.074,52.510,23.800
0000-00-00T00:00:05:000,101292.508,0.042,52.560,23.780
0000-00-00T00:00:05:075,101293.648,-0.053,52.530,23.770
0000-00-00T00:00:05:148,101292.367,0.054,52.550,23.780
0000-00-00T00:00:05:220,101292.602,0.034,52.580,23.750
0000-00-00T00:00:05:292,101292.883,0.011,52.590,23.770
0000-00-00T00:00:05:364,101292.742,0.022,52.580,23.770
0000-00-00T00:00:05:436,101292.531,0.040,52.550,23.770
0000-00-00T00:00:05:508,101292.367,0.054,52.620,23.780
0000-00-00T00:00:05:581,101291.133,0.156,52.580,23.770
0000-00-00T00:00:05:653,101290.977,0.169,52.590,23.780
0000-00-00T00:00:05:728,101290.148,0.238,52.580,23.770
0000-00-00T00:00:05:800,101289.500,0.292,52.580,23.780
0000-00-00T00:00:05:872,101290.117,0.241,52.600,23.800
0000-00-00T00:00:05:945,101291.180,0.152,52.590,23.770
0000-00-00T00:00:06:000,101291.328,0.140,52.580,23.770
0000-00-00T00:00:06:073,101291.109,0.158,52.530,23.800
0000-00-00T00:00:06:145,101291.328,0.140,52.530,23.780
0000-00-00T00:00:06:217,101291.727,0.107,52.550,23.800
0000-00-00T00:00:06:289,101292.227,0.065,52.510,23.800
0000-00-00T00:00:06:364,101292.203,0.067,52.500,23.780
0000-00-00T00:00:06:437,101292.172,0.070,52.510,23.770
0000-00-00T00:00:06:518,101293.148,-0.011,52.520,23.780
0000-00-00T00:00:06:590,101291.852,0.097,52.520,23.780
0000-00-00T00:00:06:662,101291.000,0.168,52.510,23.770
0000-00-00T00:00:06:735,101289.906,0.259,52.530,23.770
0000-00-00T00:00:06:807,101289.750,0.272,52.490,23.800
0000-00-00T00:00:06:879,101288.898,0.342,52.470,23.780
0000-00-00T00:00:07:000,101288.547,0.372,52.460,23.770
0000-00-00T00:00:07:075,101288.188,0.402,52.430,23.750
0000-00-00T00:00:07:147,101288.180,0.403,52.400,23.770
0000-00-00T00:00:07:220,101287.930,0.423,52.320,23.770
0000-00-00T00:00:07:292,101286.977,0.503,52.260,23.770
0000-00-00T00:00:07:364,101287.977,0.419,52.220,23.770
0000-00-00T00:00:07:436,101288.430,0.382,52.130,23.780
0000-00-00T00:00:07:508,101289.070,0.328,52.120,23.770
0000-00-00T00:00:07:581,101288.984,0.335,52.040,23.740
0000-00-00T00:00:07:653,101289.836,0.264,51.950,23.750
0000-00-00T00:00:07:728,101290.711,0.192,51.890,23.770
0000-00-00T00:00:07:800,101290.359,0.221,51.840,23.770
0000-00-00T00:00:07:872,101290.680,0.194,51.730,23.780
0000-00-00T00:00:08:000,101290.555,0.205,51.670,23.780
0000-00-00T00:00:08:072,101290.375,0.220,51.570,23.770
0000-00-00T00:00:08:145,101290.703,0.192,51.500,23.750
0000-00-00T00:00:08:217,101291.320,0.141,51.410,23.770
0000-00-00T00:00:08:289,101291.070,0.161,51.370,23.780
0000-00-00T00:00:08:361,101290.352,0.222,51.340,23.780
0000-00-00T00:00:08:445,101290.547,0.205,51.300,23.780
0000-00-00T00:00:08:517,101289.812,0.267,51.280,23.770
0000-00-00T00:00:08:589,101289.000,0.334,51.240,23.750
0000-00-00T00:00:08:661,101289.008,0.333,51.210,23.750
0000-00-00T00:00:08:733,101289.133,0.323,51.170,23.750
0000-00-00T00:00:08:806,101290.156,0.238,51.150,23.770
0000-00-00T00:00:08:878,101289.773,0.270,51.090,23.750
0000-00-00T00:00:08:950,101289.328,0.307,51.080,23.750
0000-00-00T00:00:09:000,101289.758,0.271,51.040,23.740
0000-00-00T00:00:09:072,101289.633,0.282,50.980,23.770
0000-00-00T00:00:09:147,101290.758,0.188,50.930,23.770
0000-00-00T00:00:09:219,101290.805,0.184,50.900,23.750
0000-00-00T00:00:09:291,101290.875,0.178,50.860,23.750
0000-00-00T00:00:09:364,101291.719,0.108,50.840,23.750
0000-00-00T00:00:09:436,101290.953,0.171,50.770,23.770
0000-00-00T00:00:09:508,101290.914,0.175,50.750,23.770
0000-00-00T00:00:09:580,101290.789,0.185,50.700,23.740
0000-00-00T00:00:09:652,101290.859,0.180,50.620,23.750
0000-00-00T00:00:09:724,101291.109,0.158,50.590,23.750
0000-00-00T00:00:09:799,101291.570,0.120,50.500,23.770
0000-00-00T00:00:09:872,101292.938,0.006,50.470,23.770
0000-00-00T00:00:10:000,101292.594,0.035,50.440,23.770
0000-00-00T00:00:10:073,101291.680,0.111,50.350,23.770
0000-00-00T00:00:10:145,101292.094,0.076,50.320,23.740
0000-00-00T00:00:10:217,101291.695,0.110,50.330,23.750
0000-00-00T00:00:10:289,101292.492,0.043,50.270,23.770
0000-00-00T00:00:10:362,101291.570,0.120,50.260,23.780
0000-00-00T00:00:10:434,101290.938,0.173,50.250,23.750
0000-00-00T00:00:10:509,101290.453,0.213,50.240,23.780
0000-00-00T00:00:10:581,101290.117,0.241,50.210,23.780
0000-00-00T00:00:10:653,101291.109,0.158,50.190,23.770
0000-00-00T00:00:10:725,101291.508,0.125,50.170,23.770
0000-00-00T00:00:10:798,101291.766,0.104,50.100,23.770
0000-00-00T00:00:10:870,101291.367,0.137,50.130,23.770
0000-00-00T00:00:11:000,101291.844,0.097,50.100,23.780
0000-00-00T00:00:11:073,101292.156,0.071,50.090,23.770
0000-00-00T00:00:11:145,101292.398,0.051,50.020,23.780
0000-00-00T00:00:11:220,101293.812,-0.066,50.060,23.750
0000-00-00T00:00:11:292,101294.328,-0.110,50.060,23.770
0000-00-00T00:00:11:365,101294.750,-0.145,50.110,23.800
0000-00-00T00:00:11:437,101296.148,-0.261,50.120,23.780
0000-00-00T00:00:11:509,101295.289,-0.190,50.190,23.780
0000-00-00T00:00:11:581,101296.141,-0.260,50.260,23.780
0000-00-00T00:00:11:654,101294.977,-0.164,50.300,23.780
0000-00-00T00:00:11:726,101294.211,-0.101,50.380,23.780
0000-00-00T00:00:11:798,101294.742,-0.145,50.460,23.800
0000-00-00T00:00:11:873,101294.281,-0.106,50.530,23.780
0000-00-00T00:00:11:945,101294.602,-0.133,50.560,23.770
0000-00-00T00:00:12:000,101296.633,-0.302,50.650,23.780
0000-00-00T00:00:12:072,101296.391,-0.282,50.720,23.770
0000-00-00T00:00:12:145,101296.289,-0.273,50.760,23.770
0000-00-00T00:00:12:217,101296.414,-0.284,50.820,23.780
0000-00-00T00:00:12:289,101295.398,-0.199,50.880,23.800
0000-00-00T00:00:12:361,101296.531,-0.294,50.920,23.770
0000-00-00T00:00:12:434,101296.328,-0.276,50.970,23.750
0000-00-00T00:00:12:508,101295.797,-0.231,51.020,23.800
0000-00-00T00:00:12:581,101295.281,-0.189,51.030,23.770
0000-00-00T00:00:12:653,101295.312,-0.192,51.060,23.800
0000-00-00T00:00:12:725,101295.086,-0.173,51.080,23.770
0000-00-00T00:00:12:797,101295.281,-0.189,51.090,23.770
0000-00-00T00:00:12:870,101295.617,-0.217,51.120,23.770
0000-00-00T00:00:13:000,101295.820,-0.234,51.160,23.800
0000-00-00T00:00:13:073,101296.297,-0.274,51.210,23.750
0000-00-00T00:00:13:145,101296.555,-0.296,51.220,23.800
0000-00-00T00:00:13:220,101297.172,-0.347,51.240,23.770
0000-00-00T00:00:13:293,101296.961,-0.329,51.240,23.780
0000-00-00T00:00:13:365,101297.000,-0.332,51.240,23.750
0000-00-00T00:00:13:437,101297.328,-0.359,51.270,23.780
0000-00-00T00:00:13:509,101297.180,-0.347,51.290,23.780
0000-00-00T00:00:13:581,101297.641,-0.385,51.280,23.750
0000-00-00T00:00:13:654,101296.969,-0.330,51.280,23.750
0000-00-00T00:00:13:726,101296.742,-0.311,51.290,23.750
0000-00-00T00:00:13:804,101296.367,-0.280,51.320,23.770
0000-00-00T00:00:13:879,101297.398,-0.365,51.340,23.750
0000-00-00T00:00:14:000,101297.719,-0.392,51.280,23.770
0000-00-00T00:00:14:072,101296.273,-0.272,51.350,23.780
0000-00-00T00:00:14:145,101295.742,-0.227,51.350,23.770
0000-00-00T00:00:14:217,101295.461,-0.204,51.350,23.780
0000-00-00T00:00:14:289,101295.000,-0.166,51.390,23.800
0000-00-00T00:00:14:361,101295.289,-0.190,51.400,23.770
0000-00-00T00:00:14:433,101294.766,-0.146,51.360,23.740
0000-00-00T00:00:14:505,101294.211,-0.101,51.350,23.750
0000-00-00T00:00:14:580,101295.039,-0.169,51.350,23.780
0000-00-00T00:00:14:663,101294.898,-0.157,51.330,23.770
0000-00-00T00:00:14:735,101296.477,-0.289,51.370,23.780
0000-00-00T00:00:14:807,101297.453,-0.370,51.350,23.770
0000-00-00T00:00:14:880,101295.898,-0.240,51.350,23.750
0000-00-00T00:00:15:000,101295.484,-0.206,51.350,23.770
0000-00-00T00:00:15:073,101294.898,-0.157,51.270,23.770
0000-00-00T00:00:15:145,101293.898,-0.073,51.260,23.770
0000-00-00T00:00:15:217,101293.844,-0.069,51.260,23.770
0000-00-00T00:00:15:292,101293.336,-0.027,51.220,23.770
0000-00-00T00:00:15:364,101293.703,-0.057,51.220,23.780
0000-00-00T00:00:15:436,101294.633,-0.135,51.180,23.780
0000-00-00T00:00:15:509,101294.859,-0.154,51.160,23.780
0000-00-00T00:00:15:581,101294.398,-0.116,51.140,23.780
0000-00-00T00:00:15:653,101293.961,-0.079,51.110,23.780
0000-00-00T00:00:15:725,101294.008,-0.082,51.140,23.780
0000-00-00T00:00:15:797,101293.133,-0.010,51.180,23.780
0000-00-00T00:00:15:870,101291.117,0.157,51.200,23.780
0000-00-00T00:00:15:945,101290.656,0.196,51.200,23.770
0000-00-00T00:00:16:000,101291.070,0.161,51.240,23.780
0000-00-00T00:00:16:073,101291.633,0.115,51.270,23.750
0000-00-00T00:00:16:145,101291.180,0.152,51.330,23.800
0000-00-00T00:00:16:217,101291.211,0.150,51.350,23.780
0000-00-00T00:00:16:289,101291.148,0.155,51.440,23.770
0000-00-00T00:00:16:362,101290.969,0.170,51.410,23.800
0000-00-00T00:00:16:434,101290.523,0.207,51.420,23.770
0000-00-00T00:00:16:506,101289.492,0.293,51.420,23.780
0000-00-00T00:00:16:581,101290.352,0.222,51.420,23.800
0000-00-00T00:00:16:653,101290.477,0.211,51.440,23.800
0000-00-00T00:00:16:725,101291.172,0.153,51.430,23.780
0000-00-00T00:00:16:797,101291.445,0.131,51.470,23.770
0000-00-00T00:00:16:870,101291.898,0.093,51.440,23.770
0000-00-00T00:00:17:000,101291.289,0.143,51.410,23.780
0000-00-00T00:00:17:073,101290.594,0.201,51.460,23.770
0000-00-00T00:00:17:145,101291.664,0.112,51.410,23.780
0000-00-00T00:00:17:217,101291.922,0.091,51.390,23.800
0000-00-00T00:00:17:292,101291.898,0.093,51.420,23.770
0000-00-00T00:00:17:365,101291.914,0.092,51.440,23.770
0000-00-00T00:00:17:437,101292.078,0.078,51.410,23.750
0000-00-00T00:00:17:509,101292.609,0.034,51.390,23.780
0000-00-00T00:00:17:581,101293.148,-0.011,51.400,23.800
0000-00-00T00:00:17:653,101293.391,-0.031,51.420,23.780
0000-00-00T00:00:17:725,101292.703,0.026,51.410,23.770
0000-00-00T00:00:17:798,101292.648,0.030,51.460,23.780
0000-00-00T00:00:17:870,101293.234,-0.019,51.460,23.770
0000-00-00T00:00:18:000,101292.867,0.012,51.470,23.770
0000-00-00T00:00:18:073,101292.656,0.030,51.520,23.800
0000-00-00T00:00:18:145,101292.859,0.013,51.500,23.780
0000-00-00T00:00:18:218,101292.859,0.013,51.530,23.800
0000-00-00T00:00:18:290,101292.406,0.050,51.570,23.770
0000-00-00T00:00:18:362,101293.070,-0.005,51.590,23.770
0000-00-00T00:00:18:434,101293.508,-0.041,51.650,23.780
0000-00-00T00:00:18:507,101292.898,0.010,51.650,23.780
0000-00-00T00:00:18:579,101293.445,-0.036,51.690,23.780
0000-00-00T00:00:18:654,101293.477,-0.038,51.710,23.800
0000-00-00T00:00:18:726,101292.680,0.028,51.770,23.770
0000-00-00T00:00:18:798,101292.188,0.068,51.790,23.780
0000-00-00T00:00:18:870,101291.555,0.122,51.810,23.780
0000-00-00T00:00:18:943,101291.391,0.135,51.850,23.770
